GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Same house 1 year ago,Margin of Error; Total: - Same house 1 year ago,Estimate; Total: - Different house in United States 1 year ago:,Margin of Error; Total: - Different house in United States 1 year ago:,Estimate; Total: - Different house in United States 1 year ago: - Same Metropolitan Statistical Area:,Margin of Error; Total: - Different house in United States 1 year ago: - Same Metropolitan Statistical Area:,Estimate; Total: - Different house in United States 1 year ago: - Same Metropolitan Statistical Area: - Moved from principal city,Margin of Error; Total: - Different house in United States 1 year ago: - Same Metropolitan Statistical Area: - Moved from principal city,Estimate; Total: - Different house in United States 1 year ago: - Same Metropolitan Statistical Area: - Moved from remainder of Metropolitan Statistical Area,Margin of Error; Total: - Different house in United States 1 year ago: - Same Metropolitan Statistical Area: - Moved from remainder of Metropolitan Statistical Area,Estimate; Total: - Different house in United States 1 year ago: - Different Metropolitan Statistical Area:,Margin of Error; Total: - Different house in United States 1 year ago: - Different Metropolitan Statistical Area:,Estimate; Total: - Different house in United States 1 year ago: - Different Metropolitan Statistical Area: - Moved from principal city,Margin of Error; Total: - Different house in United States 1 year ago: - Different Metropolitan Statistical Area: - Moved from principal city,Estimate; Total: - Different house in United States 1 year ago: - Different Metropolitan Statistical Area: - Moved from remainder of Metropolitan Statistical Area,Margin of Error; Total: - Different house in United States 1 year ago: - Different Metropolitan Statistical Area: - Moved from remainder of Metropolitan Statistical Area,Estimate; Total: - Different house in United States 1 year ago: - Micropolitan Statistical Area:,Margin of Error; Total: - Different house in United States 1 year ago: - Micropolitan Statistical Area:,Estimate; Total: - Different house in United States 1 year ago: - Micropolitan Statistical Area: - Moved from principal city,Margin of Error; Total: - Different house in United States 1 year ago: - Micropolitan Statistical Area: - Moved from principal city,Estimate; Total: - Different house in United States 1 year ago: - Micropolitan Statistical Area: - Moved from remainder of Micropolitan Statistical Area,Margin of Error; Total: - Different house in United States 1 year ago: - Micropolitan Statistical Area: - Moved from remainder of Micropolitan Statistical Area,Estimate; Total: - Different house in United States 1 year ago: - Not in a Metropolitan or Micropolitan Statistical Area 1 year ago,Margin of Error; Total: - Different house in United States 1 year ago: - Not in a Metropolitan or Micropolitan Statistical Area 1 year ago,Estimate; Total: - Abroad 1 year ago,Margin of Error; Total: - Abroad 1 year ago
1500000US380170001001,380170001001,"Block Group 1, Census Tract 1, Cass County, North Dakota",900,177,833,174,67,70,67,70,67,70,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9
1500000US380170001002,380170001002,"Block Group 2, Census Tract 1, Cass County, North Dakota",922,161,887,155,35,39,35,39,35,39,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9
1500000US380170001003,380170001003,"Block Group 3, Census Tract 1, Cass County, North Dakota",1807,236,1743,243,64,58,46,51,27,44,19,30,18,30,18,30,0,9,0,9,0,9,0,9,0,9,0,9
1500000US380170001004,380170001004,"Block Group 4, Census Tract 1, Cass County, North Dakota",1271,218,1245,220,26,40,26,40,0,9,26,40,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9
1500000US380170002011,380170002011,"Block Group 1, Census Tract 2.01, Cass County, North Dakota",1488,249,1102,236,386,251,186,152,154,121,32,52,18,28,0,9,18,28,9,15,9,15,0,9,173,244,0,9
1500000US380170002012,380170002012,"Block Group 2, Census Tract 2.01, Cass County, North Dakota",1036,233,856,199,180,99,130,81,65,38,65,82,40,62,40,62,0,9,10,16,10,16,0,9,0,9,0,9
1500000US380170002013,380170002013,"Block Group 3, Census Tract 2.01, Cass County, North Dakota",1077,287,668,191,409,325,409,325,384,323,25,30,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9
1500000US380170002021,380170002021,"Block Group 1, Census Tract 2.02, Cass County, North Dakota",1132,230,996,226,136,71,82,55,82,55,0,9,31,34,12,19,19,28,23,25,13,20,10,15,0,9,0,9
1500000US380170002022,380170002022,"Block Group 2, Census Tract 2.02, Cass County, North Dakota",1246,184,992,190,225,98,139,85,139,85,0,9,18,22,6,11,12,19,50,51,44,50,6,9,18,22,29,45
