GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD01_VD02,HD02_VD02,HD01_BB01,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_BB02,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_BB03,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11
Id,Id2,Geography,Estimate; Total:,Estimate; Total: - Less than 10.0 percent,Margin of Error; Total: - Less than 10.0 percent,Estimate: 10-20%,Estimate; Total: - 10.0 to 14.9 percent,Margin of Error; Total: - 10.0 to 14.9 percent,Estimate; Total: - 15.0 to 19.9 percent,Margin of Error; Total: - 15.0 to 19.9 percent,Sum – 20-30%,Estimate; Total: - 20.0 to 24.9 percent,Margin of Error; Total: - 20.0 to 24.9 percent,Estimate; Total: - 25.0 to 29.9 percent,Margin of Error; Total: - 25.0 to 29.9 percent,Estimate: 30-40%,Estimate; Total: - 30.0 to 34.9 percent,Margin of Error; Total: - 30.0 to 34.9 percent,Estimate; Total: - 35.0 to 39.9 percent,Margin of Error; Total: - 35.0 to 39.9 percent,Estimate; Total: - 40.0 to 49.9 percent,Margin of Error; Total: - 40.0 to 49.9 percent,Estimate; Total: - 50.0 percent or more,Margin of Error; Total: - 50.0 percent or more,Estimate; Total: - Not computed,Margin of Error; Total: - Not computed
1500000US380170001001,380170001001,"Block Group 1, Census Tract 1, Cass County, North Dakota",6,0,9,0,0,9,0,9,6,0,9,6,10,0,0,9,0,9,0,9,0,9,0,9
1500000US380170001002,380170001002,"Block Group 2, Census Tract 1, Cass County, North Dakota",0,0,9,0,0,9,0,9,0,0,9,0,9,0,0,9,0,9,0,9,0,9,0,9
1500000US380170001003,380170001003,"Block Group 3, Census Tract 1, Cass County, North Dakota",9,0,9,0,0,9,0,9,0,0,9,0,9,0,0,9,0,9,0,9,0,9,9,14
1500000US380170001004,380170001004,"Block Group 4, Census Tract 1, Cass County, North Dakota",0,0,9,0,0,9,0,9,0,0,9,0,9,0,0,9,0,9,0,9,0,9,0,9
1500000US380170002011,380170002011,"Block Group 1, Census Tract 2.01, Cass County, North Dakota",442,0,9,184,143,99,41,38,168,105,77,63,50,9,0,9,9,15,0,9,81,53,0,9
1500000US380170002012,380170002012,"Block Group 2, Census Tract 2.01, Cass County, North Dakota",334,0,9,118,75,81,43,36,74,23,28,51,40,91,23,22,68,67,24,24,0,9,27,30
1500000US380170002013,380170002013,"Block Group 3, Census Tract 2.01, Cass County, North Dakota",479,77,98,41,0,9,41,37,121,61,45,60,46,118,48,52,70,62,44,34,69,62,9,15
1500000US380170002021,380170002021,"Block Group 1, Census Tract 2.02, Cass County, North Dakota",237,10,16,100,44,37,56,49,55,26,28,29,38,0,0,9,0,9,19,28,53,38,0,9
1500000US380170002022,380170002022,"Block Group 2, Census Tract 2.02, Cass County, North Dakota",433,22,25,93,9,15,84,61,120,9,14,111,67,8,0,9,8,12,19,24,149,65,22,27
1500000US380170002023,380170002023,"Block Group 3, Census Tract 2.02, Cass County, North Dakota",64,0,9,12,0,9,12,20,15,15,24,0,9,17,17,27,0,9,5,9,15,12,0,9
1500000US380170003001,380170003001,"Block Group 1, Census Tract 3, Cass County, North Dakota",234,5,10,40,0,9,40,24,4,0,9,4,6,30,30,25,0,9,31,31,55,46,69,50
1500000US380170003002,380170003002,"Block Group 2, Census Tract 3, Cass County, North Dakota",99,0,9,0,0,9,0,9,13,13,21,0,9,6,6,9,0,9,15,17,65,34,0,9
1500000US380170003003,380170003003,"Block Group 3, Census Tract 3, Cass County, North Dakota",20,0,9,4,4,7,0,9,2,2,3,0,9,0,0,9,0,9,0,9,14,22,0,9
1500000US380170004001,380170004001,"Block Group 1, Census Tract 4, Cass County, North Dakota",89,0,9,10,0,9,10,15,11,11,17,0,9,21,21,24,0,9,0,9,47,25,0,9
1500000US380170004002,380170004002,"Block Group 2, Census Tract 4, Cass County, North Dakota",118,0,9,7,0,9,7,12,52,0,9,52,61,10,10,15,0,9,0,9,37,36,12,19
1500000US380170004003,380170004003,"Block Group 3, Census Tract 4, Cass County, North Dakota",417,11,20,57,43,49,14,15,56,21,22,35,56,62,62,69,0,9,11,17,176,87,44,46
1500000US380170004004,380170004004,"Block Group 4, Census Tract 4, Cass County, North Dakota",208,16,23,54,21,23,33,31,30,9,14,21,23,21,8,13,13,19,10,17,42,32,35,53
1500000US380170005011,380170005011,"Block Group 1, Census Tract 5.01, Cass County, North Dakota",180,0,9,57,40,54,17,21,59,29,33,30,36,0,0,9,0,9,0,9,57,64,7,12
1500000US380170005012,380170005012,"Block Group 2, Census Tract 5.01, Cass County, North Dakota",87,0,9,19,0,9,19,22,15,15,17,0,9,19,0,9,19,22,22,25,12,20,0,9
1500000US380170005013,380170005013,"Block Group 3, Census Tract 5.01, Cass County, North Dakota",447,12,18,136,49,42,87,67,123,13,21,110,93,36,21,26,15,17,37,54,96,68,7,12
1500000US380170005014,380170005014,"Block Group 4, Census Tract 5.01, Cass County, North Dakota",245,0,9,26,5,10,21,19,23,23,21,0,9,83,71,90,12,19,22,30,91,63,0,9
1500000US380170005021,380170005021,"Block Group 1, Census Tract 5.02, Cass County, North Dakota",563,77,74,71,43,55,28,23,127,74,79,53,69,58,58,56,0,9,29,33,201,109,0,9
1500000US380170005022,380170005022,"Block Group 2, Census Tract 5.02, Cass County, North Dakota",557,13,20,81,73,58,8,13,34,14,23,20,24,52,32,39,20,31,42,43,293,120,42,40
1500000US380170006001,380170006001,"Block Group 1, Census Tract 6, Cass County, North Dakota",265,16,28,22,0,9,22,28,66,52,65,14,22,28,19,29,9,15,34,38,99,102,0,9
1500000US380170006002,380170006002,"Block Group 2, Census Tract 6, Cass County, North Dakota",53,0,9,0,0,9,0,9,9,0,9,9,15,9,0,9,9,18,35,55,0,9,0,9
1500000US380170006003,380170006003,"Block Group 3, Census Tract 6, Cass County, North Dakota",630,37,44,113,62,50,51,38,296,188,128,108,86,20,0,9,20,21,11,18,130,74,23,28
1500000US380170006004,380170006004,"Block Group 4, Census Tract 6, Cass County, North Dakota",400,11,17,77,50,76,27,34,48,0,9,48,55,9,9,16,0,9,50,48,190,109,15,26
1500000US380170007001,380170007001,"Block Group 1, Census Tract 7, Cass County, North Dakota",333,0,9,108,36,29,72,60,91,46,51,45,48,43,43,29,0,9,28,22,63,40,0,9
1500000US380170007002,380170007002,"Block Group 2, Census Tract 7, Cass County, North Dakota",960,65,45,167,83,65,84,65,167,67,50,100,57,227,95,63,132,80,80,68,168,78,86,62
1500000US380170008011,380170008011,"Block Group 1, Census Tract 8.01, Cass County, North Dakota",297,9,15,49,29,25,20,21,50,24,22,26,25,53,29,28,24,36,57,51,79,50,0,9
1500000US380170008012,380170008012,"Block Group 2, Census Tract 8.01, Cass County, North Dakota",302,5,9,161,68,48,93,84,51,41,39,10,16,35,22,35,13,20,8,14,42,35,0,9
1500000US380170008013,380170008013,"Block Group 3, Census Tract 8.01, Cass County, North Dakota",37,0,9,0,0,9,0,9,28,21,25,7,11,0,0,9,0,9,0,9,9,14,0,9
1500000US380170008014,380170008014,"Block Group 4, Census Tract 8.01, Cass County, North Dakota",193,29,43,47,33,49,14,18,70,62,35,8,13,0,0,9,0,9,0,9,40,49,7,12
1500000US380170008021,380170008021,"Block Group 1, Census Tract 8.02, Cass County, North Dakota",384,89,81,51,26,28,25,28,65,51,61,14,22,16,0,9,16,27,70,75,81,63,12,19
1500000US380170008022,380170008022,"Block Group 2, Census Tract 8.02, Cass County, North Dakota",36,0,9,0,0,9,0,9,0,0,9,0,9,23,23,27,0,9,0,9,13,21,0,9
1500000US380170008023,380170008023,"Block Group 3, Census Tract 8.02, Cass County, North Dakota",81,13,21,12,12,20,0,9,30,15,23,15,23,13,0,9,13,21,0,9,13,22,0,9
1500000US380170008024,380170008024,"Block Group 4, Census Tract 8.02, Cass County, North Dakota",236,0,9,92,0,9,92,77,50,27,32,23,36,33,11,20,22,28,13,21,48,38,0,9
1500000US380170008025,380170008025,"Block Group 5, Census Tract 8.02, Cass County, North Dakota",355,83,91,13,13,22,0,9,118,53,64,65,54,52,14,22,38,64,27,32,62,64,0,9
1500000US380170009011,380170009011,"Block Group 1, Census Tract 9.01, Cass County, North Dakota",2,0,9,0,0,9,0,9,0,0,9,0,9,0,0,9,0,9,0,9,0,9,2,9
1500000US380170009012,380170009012,"Block Group 2, Census Tract 9.01, Cass County, North Dakota",9,0,9,9,0,9,9,16,0,0,9,0,9,0,0,9,0,9,0,9,0,9,0,9
1500000US380170009013,380170009013,"Block Group 3, Census Tract 9.01, Cass County, North Dakota",383,0,9,221,97,65,124,83,69,49,62,20,33,0,0,9,0,9,0,9,61,56,32,52
1500000US380170009014,380170009014,"Block Group 4, Census Tract 9.01, Cass County, North Dakota",247,0,9,65,8,14,57,47,65,12,20,53,55,77,77,86,0,9,0,9,26,26,14,22
1500000US380170009015,380170009015,"Block Group 5, Census Tract 9.01, Cass County, North Dakota",16,0,9,0,0,9,0,9,0,0,9,0,9,0,0,9,0,9,0,9,0,9,16,26
1500000US380170009031,380170009031,"Block Group 1, Census Tract 9.03, Cass County, North Dakota",367,35,38,83,30,33,53,45,80,65,43,15,24,43,29,41,14,23,25,29,89,59,12,20
1500000US380170009032,380170009032,"Block Group 2, Census Tract 9.03, Cass County, North Dakota",306,0,9,55,0,9,55,41,89,28,33,61,45,79,51,79,28,32,16,25,50,49,17,27
1500000US380170009033,380170009033,"Block Group 3, Census Tract 9.03, Cass County, North Dakota",886,60,74,229,150,97,79,48,241,120,91,121,90,146,104,86,42,38,13,22,197,97,0,9
